aboard prep./adv.
temporary adj.
tend v.
tender adj.
tent n.
terrific adj.
territory n.
thankful adj.
theory n.
thirst n.
thread n./v.
threat n.
threaten v.
thumb n./v.
tide n.
tight adj./adv.
tighten v.
timber n.
tobacco n.
ton n.
toss v./n.
tough adj.
tourism n.
tourist n.
tow n./v.
tower n.
trace n./v.
trader n.
trail n./v.
transport n./v.
traveler n.
tray n.
trend n.
tribe n.
tricky adj.
troop n.
tropical adj.
trumpet n.
trunk n.
truthful adj.
tub n.
tug n./v.
tune n./v.
tunnel n./v.
tutor n./v.
twin n.
twist n./v.
underlying v.
underwear n.
union n.
unique adj./n.
unite v.
unity n.
urban adj.
vacant adj.
van n.
vanish v.
variety n.
various adj.
vary v.
vase n.
vehicle n.
verse n.
vest n.
victim n.
violence n.
violent adj.
violet adj./n.
visible adj.
vision n.
vitamin n.
vivid adj.
vocabulary n.
volleyball n.
volume n.
voter n.
wage n.
wagon n.
wander v./n.
warmth n.
warn v.
waterfall n.
wax n./v.
weaken v.
wealthy adj.
weapon n.
weave v./n.
web n.
wed v.
weed n./v.
weekly adj./adv./n.
weep v.
wheat n.
whip n./v.
whistle n./v.
wicked adj.
widen v.
wipe v./n.
wisdom n.
wrap v./n.
wrist n.
yearly adj./adv.
yell v./n.
yolk n.
youngster n.
zipper n./v.
zone n./v.
